job,time,sample,ship_version,tag,nCandidates,nEvents15y
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+TOFSBT@90MeV+PID,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+TOFSBT@90MeV+PID+inv_mass,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+GNNSBT@45MeV,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+GNNSBT@45MeV+PID,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+GNNSBT@45MeV+PID+inv_mass,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+AdvSBT@45MeV,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+AdvSBT@90MeV,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+TOFSBT@45MeV,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+TOFSBT@90MeV,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+BasicSBT@45MeV,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+BasicSBT@90MeV,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+inv_mass,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+inv_mass,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+PID,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+PID+inv_mass,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+BasicSBT@45MeV+inv_mass,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+BasicSBT@90MeV+inv_mass,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+TOFSBT@45MeV+inv_mass,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+TOFSBT@90MeV+inv_mass,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+AdvSBT@45MeV+inv_mass,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,preselection+UBT+AdvSBT@90MeV+inv_mass,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,GoodDaughters+n_particles+fiducial+doca+impact_par+UBT,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,GoodDaughters+n_particles+fiducial+doca+impact_par,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,GoodDaughters+n_particles+fiducial+doca,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,GoodDaughters+n_particles+fiducial,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,GoodDaughters+n_particles,0,0.0
heliumCase_SBT/job_0,2025-09-15T20:15:13,heliumCase,2024_helium,GoodDaughters,0,0.0
