job,time,sample,ship_version,tag,nCandidates,nEvents15y
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+AdvSBT@90MeV,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+TOFSBT@45MeV,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+TOFSBT@90MeV,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+BasicSBT@45MeV,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+BasicSBT@90MeV,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+inv_mass,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+UBT+inv_mass,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+UBT+PID,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+UBT+PID+inv_mass,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+UBT+BasicSBT@45MeV+inv_mass,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+UBT+BasicSBT@90MeV+inv_mass,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+UBT+TOFSBT@45MeV+inv_mass,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+UBT+TOFSBT@90MeV+inv_mass,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+UBT+AdvSBT@45MeV+inv_mass,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,preselection+UBT+AdvSBT@90MeV+inv_mass,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,GoodDaughters+n_particles+fiducial+doca+impact_par+UBT,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,GoodDaughters+n_particles+fiducial+doca+impact_par,0,0.0
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,GoodDaughters+n_particles+fiducial+doca,1,12736.171706741425
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,GoodDaughters+n_particles+fiducial,3,14665.527065457529
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,GoodDaughters+n_particles,8,31625.193538283755
all_SBT/job_0,2025-09-15T20:15:12,all,2024_helium,GoodDaughters,11,69300.26522004283
